District name	City	County name
Arizona State School For The Deaf And Blind	Tucson	Pima
Blue Adobe Project	Tucson	Pima
Canyon Rose Academy Inc.	Tucson	Pima
Carden Of Tucson Inc.	Tucson	Pima
Catalina Foothills Unified District	Tucson	Pima
Children's Success Academy Inc.	Tucson	Pima
Collaborative Pathways Inc.	Tucson	Pima
Compass High School Inc.	Tucson	Pima
Cplc Community Schools Dba Hiaki High School	Tucson	Pima
Cplc Community Schools Dba Toltecalli High School	Tucson	Pima
Desert Rose Academy Inc.	Tucson	Pima
Desert Sky Community School Inc.	Tucson	Pima
Desert Springs Academy	Tucson	Pima
Eastpointe High School Inc.	Tucson	Pima
Edge School Inc. The	Tucson	Pima
Education Ahead	Tucson	Pima
Educational Impact Inc.	Tucson	Pima
El Centro For The Study Of Primary And Secondary Education	Tucson	Pima
El Pueblo Integral - Teaching & Learning Collaborative	Tucson	Pima
Flowing Wells Unified District	Tucson	Pima
Griffin Foundation Inc. The	Tucson	Pima
Ha:San Educational Services	Tucson	Pima
Hermosa Montessori Charter School	Tucson	Pima
Highland Free School	Tucson	Pima
Institute For Transformative Education Inc.	Tucson	Pima
Kaizen Education Foundation Dba Skyview High School	Tucson	Pima
Khalsa Family Services	Tucson	Pima
Legacy Traditional School - Northwest Tucson	Tucson	Pima
Lifelong Learning Research Institute Inc.	Tucson	Pima
Lifelong Learning Research Institute Inc.	Tucson	Pima
Luz Academy Of Tucson Inc	Tucson	Pima
Math And Science Success Academy Inc.	Tucson	Pima
Montessori Schoolhouse Of Tucson Inc.	Tucson	Pima
Mountain Rose Academy Inc.	Tucson	Pima
Multidimensional Literacy Corp.	Tucson	Pima
New West School	Tucson	Pima
Nosotros Inc	Tucson	Pima
Pima County Board Of Supervisors	Tucson	Pima
Pima County Jted	Tucson	Pima
Pima Prevention Partnership	Tucson	Pima
Pima Prevention Partnership Dba Pima Partnership Academy	Tucson	Pima
Pima Prevention Partnership Dba Pima Partnership School The	Tucson	Pima
Pima Rose Academy Inc.	Tucson	Pima
Portable Practical Educational Preparation Inc. (Ppep Inc.	Tucson	Pima
Presidio School	Tucson	Pima
Presidio School Inc.	Tucson	Pima
Satori Inc.	Tucson	Pima
Sonoran Science Academy - Broadway	Tucson	Pima
Sonoran Science Academy - Davis Monthan	Tucson	Pima
Southern Arizona Community Academy Inc.	Tucson	Pima
Southgate Academy Inc.	Tucson	Pima
Sunnyside Unified District	Tucson	Pima
Tag Elementary Inc.	Tucson	Pima
Tanque Verde Unified District	Tucson	Pima
Tucson Collegiate Prep Inc.	Tucson	Pima
Tucson Country Day School Inc.	Tucson	Pima
Tucson International Academy Inc.	Tucson	Pima
Tucson Preparatory School	Tucson	Pima
Tucson Small School Project	Tucson	Pima
Tucson Unified District	Tucson	Pima
Tucson Youth Development Ace Charter High School	Tucson	Pima
Vision Charter School Inc.	Tucson	Pima
Wildcat Secondary School	Tucson	Pima
Vail Unified District	Vail	Pima
Vernon Elementary District	Vernon	Apache
Antelope Union High School District	Wellton	Yuma
Wellton Elementary District	Wellton	Yuma
Wenden Elementary District	Wenden	La Paz
Whiteriver Unified District	Whiteriver	Navajo
Wickenburg Unified District	Wickenburg	Maricopa
Owens-Whitney Elementary District	Wikieup	Mohave
Cochise Technology District	Willcox	Cochise
Willcox Unified District	Willcox	Cochise
Williams Unified District	Williams	Coconino
Hayden-Winkelman Unified District	Winkelman	Gila
Developing Innovations In Navajo Education Inc. (Dine Inc.	Winslow	Navajo
Winslow Unified District	Winslow	Navajo
Nadaburg Unified School District	Wittmann	Maricopa
Yarnell Elementary District	Yarnell	Yavapai
Young Elementary District	Young	Gila
Yucca Elementary District	Yucca	Mohave
Az-Tec High School	Yuma	Yuma
Carpe Diem Collegiate High School	Yuma	Yuma
Crane Elementary District	Yuma	Yuma
Harvest Power Community Development Group Inc.	Yuma	Yuma
Juniper Tree Academy	Yuma	Yuma
Yuma Elementary District	Yuma	Yuma
Yuma Private Industry Council Inc.	Yuma	Yuma
Yuma Union High School District	Yuma	Yuma
